Date,Location,Product,Amount,Total,Unit_price,Weekday,Is_holiday,Buen_fin,Hot_sale
2022-01-02,Monterrey,Producto 11,7.0,40461.47,5780.21,Sunday,0,0,0
2022-01-02,San Luis,Producto 11,3.5,18162.13,5189.18,Sunday,0,0,0
2022-01-02,Queretaro,Producto 6,3.5,23477.44,6707.839999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 24,3.5,31083.5,8881.0,Sunday,0,0,0
2022-01-02,Monterrey,Producto 15,7.0,42846.02,6120.86,Sunday,0,0,0
2022-01-02,Coahuila,Producto 9,3.5,27154.855,7758.53,Sunday,0,0,0
2022-01-02,Monterrey,Producto 4,3.5,35462.35,10132.1,Sunday,0,0,0
2022-01-02,Queretaro,Producto 4,7.0,79710.71500000001,11387.245,Sunday,0,0,0
2022-01-02,Reynosa,Producto 4,7.0,93552.375,13364.625,Sunday,0,0,0
2022-01-02,San Luis,Producto 4,7.0,78390.48,11198.64,Sunday,0,0,0
2022-01-02,Coahuila,Producto 3,3.5,10361.54,2960.44,Sunday,0,0,0
2022-01-02,Laredo,Producto 3,7.0,22609.58,3229.94,Sunday,0,0,0
2022-01-02,Monterrey,Producto 3,3.5,9868.145,2819.4700000000003,Sunday,0,0,0
2022-01-02,San Luis,Producto 3,3.5,10361.54,2960.44,Sunday,0,0,0
2022-01-02,Durango,Producto 2,3.5,14556.29,4158.9400000000005,Sunday,0,0,0
2022-01-02,San Luis,Producto 2,3.5,13242.18,3783.48,Sunday,0,0,0
2022-01-02,San Luis,Producto 23,3.5,21480.865,6137.39,Sunday,0,0,0
2022-01-02,San Luis,Producto 28,3.5,13580.07,3880.02,Sunday,0,0,0
2022-01-02,Coahuila,Producto 26,3.5,22477.875,6422.25,Sunday,0,0,0
2022-01-02,Monterrey,Producto 13,3.5,23648.17,6756.62,Sunday,0,0,0
2022-01-02,San Luis,Producto 13,3.5,26137.44,7467.839999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 14,3.5,31951.955,9129.130000000001,Sunday,0,0,0
2022-01-02,San Luis,Producto 14,3.5,33549.565,9585.59,Sunday,0,0,0
2022-01-02,Queretaro,Producto 18,3.5,45540.635,13011.61,Sunday,0,0,0
2022-01-02,Monterrey,Producto 19,7.0,23666.58,3380.94,Sunday,0,0,0
2022-01-02,San Luis,Producto 19,7.0,28672.385,4096.054999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 7,3.5,18510.87,5288.82,Sunday,0,0,0
2022-01-02,Laredo,Producto 27,3.5,30029.755,8579.93,Sunday,0,0,0
2022-01-02,Monterrey,Producto 34,3.5,28222.565,8063.589999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 65,3.5,23290.085,6654.3099999999995,Sunday,0,0,0
2022-01-02,Coahuila,Producto 1,7.0,12859.175,1837.0249999999999,Sunday,0,0,0
2022-01-02,Monterrey,Producto 1,7.0,10471.195,1495.885,Sunday,0,0,0
2022-01-02,Reynosa,Producto 1,7.0,12430.53,1775.7900000000002,Sunday,0,0,0
2022-01-02,San Luis,Producto 1,14.0,22953.63,1639.545,Sunday,0,0,0
2022-01-02,Monterrey,Producto 0,7.0,15167.95,2166.85,Sunday,0,0,0
2022-01-02,Reynosa,Producto 0,3.5,8749.335,2499.81,Sunday,0,0,0
2022-01-02,Durango,Producto 5,3.5,10024.98,2864.2799999999997,Sunday,0,0,0
